ligand,case,run_tag,top_frac,top_n,top_success_any,top_success_rate,top_valid_n,top_success_any_valid,top_success_rate_valid
3nq9,3nq9_Kdist10.0_Kmono16.0,penalty_qpu_20260116_174810,0.1,100,1,0.17,100,1,0.17
3nq9,3nq9_Kdist10.0_Kmono17.0,penalty_qpu_20260116_174810,0.1,100,1,0.04,100,1,0.04
3nq9,3nq9_Kdist10.0_Kmono18.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono19.0,penalty_qpu_20260116_174810,0.1,81,0,0.0,81,0,0.0
3nq9,3nq9_Kdist10.0_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,1,0.02,100,1,0.02
3nq9,3nq9_Kdist10.0_Kmono20.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,1,0.31,100,1,0.31
3nq9,3nq9_Kdist10.0_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist10.0_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono12.0,penalty_qpu_20260116_174810,0.1,74,1,0.04054054054054054,74,1,0.04054054054054054
3nq9,3nq9_Kdist2.0_Kmono13.0,penalty_qpu_20260116_174810,0.1,99,0,0.0,99,0,0.0
3nq9,3nq9_Kdist2.0_Kmono14.0,penalty_qpu_20260116_174810,0.1,90,0,0.0,90,0,0.0
3nq9,3nq9_Kdist2.0_Kmono15.0,penalty_qpu_20260116_174810,0.1,43,0,0.0,43,0,0.0
3nq9,3nq9_Kdist2.0_Kmono16.0,penalty_qpu_20260116_174810,0.1,73,1,0.0684931506849315,73,1,0.0684931506849315
3nq9,3nq9_Kdist2.0_Kmono17.0,penalty_qpu_20260116_174810,0.1,87,0,0.0,87,0,0.0
3nq9,3nq9_Kdist2.0_Kmono18.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono19.0,penalty_qpu_20260116_174810,0.1,96,0,0.0,96,0,0.0
3nq9,3nq9_Kdist2.0_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono20.0,penalty_qpu_20260116_174810,0.1,16,0,0.0,16,0,0.0
3nq9,3nq9_Kdist2.0_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,1,0.01,100,1,0.01
3nq9,3nq9_Kdist2.0_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.0_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,1,0.01,100,1,0.01
3nq9,3nq9_Kdist2.0_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono12.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono14.0,penalty_qpu_20260116_174810,0.1,90,1,0.011111111111111112,90,1,0.011111111111111112
3nq9,3nq9_Kdist2.5_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono16.0,penalty_qpu_20260116_174810,0.1,92,1,0.010869565217391304,92,1,0.010869565217391304
3nq9,3nq9_Kdist2.5_Kmono17.0,penalty_qpu_20260116_174810,0.1,100,1,0.06,100,1,0.06
3nq9,3nq9_Kdist2.5_Kmono18.0,penalty_qpu_20260116_174810,0.1,72,0,0.0,72,0,0.0
3nq9,3nq9_Kdist2.5_Kmono19.0,penalty_qpu_20260116_174810,0.1,100,1,0.91,100,1,0.91
3nq9,3nq9_Kdist2.5_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono20.0,penalty_qpu_20260116_174810,0.1,82,1,0.0975609756097561,82,1,0.0975609756097561
3nq9,3nq9_Kdist2.5_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist2.5_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono12.0,penalty_qpu_20260116_174810,0.1,95,0,0.0,95,0,0.0
3nq9,3nq9_Kdist3.0_Kmono13.0,penalty_qpu_20260116_174810,0.1,70,0,0.0,70,0,0.0
3nq9,3nq9_Kdist3.0_Kmono14.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono15.0,penalty_qpu_20260116_174810,0.1,9,0,0.0,9,0,0.0
3nq9,3nq9_Kdist3.0_Kmono16.0,penalty_qpu_20260116_174810,0.1,96,0,0.0,96,0,0.0
3nq9,3nq9_Kdist3.0_Kmono17.0,penalty_qpu_20260116_174810,0.1,90,0,0.0,90,0,0.0
3nq9,3nq9_Kdist3.0_Kmono18.0,penalty_qpu_20260116_174810,0.1,63,0,0.0,63,0,0.0
3nq9,3nq9_Kdist3.0_Kmono19.0,penalty_qpu_20260116_174810,0.1,5,0,0.0,5,0,0.0
3nq9,3nq9_Kdist3.0_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono20.0,penalty_qpu_20260116_174810,0.1,22,0,0.0,22,0,0.0
3nq9,3nq9_Kdist3.0_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,1,0.04,100,1,0.04
3nq9,3nq9_Kdist3.0_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.0_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono11.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono12.0,penalty_qpu_20260116_174810,0.1,84,0,0.0,84,0,0.0
3nq9,3nq9_Kdist3.5_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono14.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono16.0,penalty_qpu_20260116_174810,0.1,100,1,0.11,100,1,0.11
3nq9,3nq9_Kdist3.5_Kmono17.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono18.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono19.0,penalty_qpu_20260116_174810,0.1,98,1,0.17346938775510204,98,1,0.17346938775510204
3nq9,3nq9_Kdist3.5_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono20.0,penalty_qpu_20260116_174810,0.1,91,0,0.0,91,0,0.0
3nq9,3nq9_Kdist3.5_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist3.5_Kmono9.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono10.0,penalty_qpu_20260116_174810,0.1,62,0,0.0,62,0,0.0
3nq9,3nq9_Kdist4.0_Kmono11.0,penalty_qpu_20260116_174810,0.1,99,0,0.0,99,0,0.0
3nq9,3nq9_Kdist4.0_Kmono12.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono14.0,penalty_qpu_20260116_174810,0.1,100,1,0.41,100,1,0.41
3nq9,3nq9_Kdist4.0_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono16.0,penalty_qpu_20260116_174810,0.1,100,1,0.03,100,1,0.03
3nq9,3nq9_Kdist4.0_Kmono17.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono18.0,penalty_qpu_20260116_174810,0.1,85,0,0.0,85,0,0.0
3nq9,3nq9_Kdist4.0_Kmono19.0,penalty_qpu_20260116_174810,0.1,77,0,0.0,77,0,0.0
3nq9,3nq9_Kdist4.0_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono20.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist4.0_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
