ligand,case_name,run_tag,mode,variant,setting,quality,tts_0p99_sec,validity_rate,success_rate,embedding_cached,n_reads,n_report_rows,n_valid,n_success_valid
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r8_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.925,0.0017588150675345,0.937,0.9871931696905016,True,1000,937,937,925
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r8_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.889,0.0020793453240102,1.0,0.889,True,1000,1000,1000,889
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r9_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.942,0.00160000322642,0.952,0.9894957983193278,True,1000,952,952,942
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r9_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.876,0.0021897095568133,1.0,0.876,True,1000,1000,1000,876
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r9_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.947,0.0015510243577354,0.956,0.9905857740585774,True,1000,956,956,947
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r9_20260409_180305,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,0.89,0.0020709869090949,1.0,0.89,True,1000,1000,1000,890
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r9_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.941,0.0016097973708141,0.947,0.993664202745512,True,1000,947,947,941
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r9_20260409_180305,anneal_schedule,fourier,anneal_schedule|fourier,0.875,0.0021983005332753,1.0,0.875,True,1000,1000,1000,875
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r9_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.953,0.0014900790783604,0.967,0.9855222337125128,True,1000,967,967,953
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r9_20260409_180305,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,0.861,0.0023165664944839,1.0,0.861,True,1000,1000,1000,861
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r9_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.851,0.0023930410495245,0.956,0.8901673640167364,True,1000,956,956,851
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r9_20260409_180305,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,0.854,0.0023756237471062,1.0,0.854,True,1000,1000,1000,854
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r9_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.936,0.0016573345704399,0.95,0.9852631578947368,True,1000,950,950,936
4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r9_20260409_180305,anneal_schedule,pause_quench,anneal_schedule|pause_quench,0.885,0.0021133808536619,1.0,0.885,True,1000,1000,1000,885
3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r10_20260409_180305,anneal_schedule,linear,anneal_schedule|linear,0.935,0.0016667015934107,0.948,0.9862869198312236,True,1000,948,948,935
