Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
329,1.3799,0.0,True,True
330,3.9773,0.0,True,False
331,2.8951,0.0,True,False
332,2.548,0.0,True,False
333,3.0781,0.0,True,False
334,1.3623,0.0,True,True
335,2.4559,0.0,True,False
336,2.0475,0.0,True,False
337,2.0475,0.0,True,False
338,2.0567,0.0,True,False
339,1.6307,0.0,True,True
340,3.3163,0.0,True,False
341,1.7019,0.0,True,True
342,1.3291,0.0,True,True
343,1.6164,0.0,True,True
344,1.6047,0.0,True,True
345,2.0471,0.0,True,False
346,1.8169,0.0,True,True
347,1.4638,0.0,True,True
348,1.4638,0.0,True,True
349,1.4006,0.0,True,True
350,1.4006,0.0,True,True
351,1.4006,0.0,True,True
352,1.4006,0.0,True,True
353,1.4006,0.0,True,True
354,1.4006,0.0,True,True
355,1.7179,0.0,True,True
356,2.5066,0.0,True,False
357,1.3955,0.0,True,True
358,1.3955,0.0,True,True
359,2.0081,0.0,True,False
360,1.4082,0.0,True,True
361,1.4082,0.0,True,True
362,1.6892,0.0,True,True
363,1.5386,0.0,True,True
364,1.5386,0.0,True,True
365,1.5386,0.0,True,True
366,1.5386,0.0,True,True
367,1.5386,0.0,True,True
368,1.5386,0.0,True,True
369,1.7576,0.0,True,True
370,1.7576,0.0,True,True
371,1.7576,0.0,True,True
372,1.7576,0.0,True,True
373,1.7576,0.0,True,True
374,1.7576,0.0,True,True
375,1.7576,0.0,True,True
376,1.7576,0.0,True,True
377,1.7576,0.0,True,True
378,1.7576,0.0,True,True
379,1.7576,0.0,True,True
380,1.7576,0.0,True,True
381,1.7712,0.0,True,True
382,1.7712,0.0,True,True
383,1.7712,0.0,True,True
384,1.7712,0.0,True,True
385,1.7712,0.0,True,True
386,1.7712,0.0,True,True
387,1.7712,0.0,True,True
388,1.7712,0.0,True,True
389,1.8081,0.0,True,True
390,1.8081,0.0,True,True
391,1.8081,0.0,True,True
392,1.8081,0.0,True,True
393,1.8081,0.0,True,True
394,1.8081,0.0,True,True
395,1.8081,0.0,True,True
396,1.8081,0.0,True,True
397,1.8081,0.0,True,True
398,1.8081,0.0,True,True
399,1.8081,0.0,True,True
400,1.8081,0.0,True,True
401,1.6102,0.0,True,True
402,2.0625,0.0,True,False
403,1.7173,0.0,True,True
404,1.7173,0.0,True,True
405,1.6038,0.0,True,True
406,1.6038,0.0,True,True
407,1.6038,0.0,True,True
408,1.6038,0.0,True,True
409,1.6038,0.0,True,True
410,1.6038,0.0,True,True
411,1.6038,0.0,True,True
412,1.6038,0.0,True,True
413,1.6038,0.0,True,True
414,1.6038,0.0,True,True
415,1.6038,0.0,True,True
416,1.6038,0.0,True,True
417,1.6038,0.0,True,True
418,1.6038,0.0,True,True
419,1.6038,0.0,True,True
420,1.6038,0.0,True,True
421,1.6038,0.0,True,True
