ligand,method,step,n_runs,mean_best_so_far,ci95,ci_lo,ci_hi
3nq9,random,39,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,40,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,41,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,42,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,43,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,44,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,45,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,46,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,47,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,48,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,49,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,50,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,51,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,52,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,53,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,54,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,55,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,56,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,57,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,58,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,59,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,60,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,61,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,62,5,0.43920,0.15276,0.28644,0.59196
3nq9,random,63,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,64,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,65,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,66,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,67,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,68,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,69,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,70,5,0.50280,0.17857,0.32423,0.68137
3nq9,random,71,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,72,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,73,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,74,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,75,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,76,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,77,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,78,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,79,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,80,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,81,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,82,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,83,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,84,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,85,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,86,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,87,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,88,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,89,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,90,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,91,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,92,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,93,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,94,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,95,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,96,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,97,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,98,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,99,5,0.50460,0.18050,0.32410,0.68510
3nq9,random,100,5,0.50460,0.18050,0.32410,0.68510
4jsz,bo,1,5,0.02280,0.04134,-0.01854,0.06414
4jsz,bo,2,5,0.02860,0.03981,-0.01121,0.06841
4jsz,bo,3,5,0.02980,0.03904,-0.00924,0.06884
