run,mode,affinity_kcalmol,rmsd_A
5,9,-4.019,3.870291939892906
5,10,-3.932,1.4968934497819142
5,11,-3.784,4.130965298813341
5,12,-3.601,3.732299773598042
5,13,-3.58,4.416587789232769
5,14,-3.465,4.315933271031887
5,15,-3.296,3.2037407822731234
5,16,-3.215,3.2114928771523066
5,17,-3.141,4.876407663434221
5,18,-2.933,4.923807672929559
5,19,-2.922,4.646502469600119
5,20,-2.789,3.5802524771306286
6,1,-4.867,4.012451557339976
6,2,-4.861,4.277267129838865
6,3,-4.785,3.877078332971878
6,4,-4.646,3.911393958680204
6,5,-4.635,4.335879115012317
6,6,-4.625,3.446097648065127
6,7,-4.297,2.4014481464316493
6,8,-4.056,3.628366808910036
6,9,-3.89,3.853300792826846
6,10,-3.828,4.527275958012721
6,11,-3.562,4.406647387754096
6,12,-3.406,4.104576994039702
6,13,-3.224,3.298720115438714
6,14,-2.921,4.799679843489564
6,15,-2.843,4.812915717109536
6,16,-2.841,3.4579321566508505
6,17,-2.704,5.064034577291115
6,18,-2.567,5.276428830184295
6,19,-2.479,5.990487985131094
6,20,-2.317,4.6976674850397835
7,1,-4.855,4.282294431726992
7,2,-4.842,3.8731612024288373
7,3,-4.649,3.4222701529832498
7,4,-4.636,4.337094834102662
7,5,-4.59,4.032999900818247
7,6,-4.567,3.304966202550338
7,7,-4.461,2.2217225974455053
7,8,-3.896,4.22060437615278
7,9,-3.717,4.704902039362774
7,10,-3.696,0.2810473269753686
7,11,-3.662,4.263491315811491
7,12,-3.545,4.521715703137472
7,13,-3.493,3.085443695807785
7,14,-3.425,1.8291212917682629
7,15,-3.293,3.15255891301019
7,16,-3.167,4.025331799988666
7,17,-3.048,3.9647176696455952
7,18,-2.938,4.035664678835445
7,19,-2.788,2.6718638251228293
7,20,-2.784,4.738343887900074
8,1,-4.856,4.28480935398531
8,2,-4.835,3.8777289229650904
8,3,-4.457,2.1740242408952115
8,4,-4.44,1.8815169146196906
8,5,-4.41,4.111756534621183
8,6,-4.057,2.5318797167322153
8,7,-3.836,4.344911805779261
8,8,-3.747,4.363361181474667
8,9,-3.746,4.412109484135677
8,10,-3.722,1.5245409145050854
8,11,-3.559,3.715381070630575
8,12,-3.457,4.175818925671946
8,13,-3.367,2.3684339762805298
8,14,-3.273,4.3483276095528955
8,15,-3.254,4.4540528398302595
8,16,-3.117,2.8919256560292146
8,17,-3.097,4.130339501784327
8,18,-3.007,3.4549975397965196
8,19,-2.977,3.2922386456634634
8,20,-2.902,2.9721773332020414
9,1,-4.884,4.011383913314705
9,2,-4.85,4.285160545417172
9,3,-4.836,3.8624935728101857
9,4,-4.579,3.3095348313622557
9,5,-4.524,3.5204551126239347
9,6,-4.374,2.122938859223223
9,7,-3.911,1.1972249997389797
9,8,-3.893,2.3711727478191036
9,9,-3.738,1.9956978478717664
9,10,-3.645,1.8697707346089254
9,11,-3.622,3.6713056124490637
9,12,-3.501,4.330949399381156
9,13,-3.489,4.203616585750893
9,14,-3.435,4.4219124256366715
9,15,-3.414,4.633858457052826
9,16,-3.186,3.360112751084404
9,17,-3.144,4.411817244628341
9,18,-3.142,3.3965125202183493
9,19,-3.05,3.451202181849102
9,20,-2.97,3.4542712400736573
10,1,-4.886,4.015059650864479
10,2,-4.837,4.277193928266521
10,3,-4.664,4.132822679477067
10,4,-4.467,3.5590614071690303
10,5,-4.443,2.1480534211234135
10,6,-4.359,3.9138941861016114
10,7,-4.345,3.9487180831252062
10,8,-4.209,1.92487446343911
10,9,-3.857,4.093722853345105
10,10,-3.496,4.42480660594336
10,11,-3.289,2.7062797342477367
10,12,-3.289,2.5340963280822613
10,13,-3.271,4.1961623538657316
10,14,-3.023,3.2645539664707646
10,15,-2.86,2.988276108394269
10,16,-2.806,2.736649941077595
10,17,-2.708,3.739454104545207
10,18,-2.685,3.6220278298213007
10,19,-2.582,4.996067443499937
10,20,-2.483,5.406548214896451
