run,mode,affinity_kcalmol,rmsd_A
7,19,-3.305,5.53706433952144
7,20,-3.25,7.175862080614427
8,1,-4.433,2.7720231059643066
8,2,-4.372,5.965482880706306
8,3,-4.327,5.9203366204971815
8,4,-4.301,2.044940292526899
8,5,-4.15,3.8082472740093967
8,6,-4.112,5.205819378349579
8,7,-3.808,4.127302060668688
8,8,-3.785,5.588904767483518
8,9,-3.764,4.707197637660862
8,10,-3.65,7.357696596082229
8,11,-3.619,2.6470572717642513
8,12,-3.617,4.774343337046468
8,13,-3.615,4.714301920751364
8,14,-3.534,6.7402593718639645
8,15,-3.443,7.13683735277749
8,16,-3.409,5.426184718566076
8,17,-3.372,2.5131111594993167
8,18,-3.328,5.397342429381334
8,19,-3.235,4.641019349237838
8,20,-3.193,6.353789310324982
9,1,-4.421,2.3686186058544756
9,2,-4.413,3.640847291496857
9,3,-4.404,5.958056939976321
9,4,-4.117,5.274460294665229
9,5,-4.085,3.9523392313919614
9,6,-4.048,5.273755303386762
9,7,-4.005,3.3928875312924833
9,8,-3.91,2.556632198811554
9,9,-3.843,4.135861337134019
9,10,-3.782,4.7179161501663
9,11,-3.635,7.702440340567397
9,12,-3.602,4.49946900200457
9,13,-3.567,5.1446111223298505
9,14,-3.523,4.1110361589263595
9,15,-3.493,7.412550316861262
9,16,-3.484,2.0852713492493007
9,17,-3.458,4.706362618838459
9,18,-3.4,4.756280889518617
9,19,-3.309,5.2540773119549735
9,20,-3.225,6.0275619698183105
10,1,-4.547,6.316870118975061
10,2,-4.52,2.58058797563656
10,3,-4.351,3.272258501402357
10,4,-4.318,3.8144396311909308
10,5,-4.232,5.8442124448038335
10,6,-4.137,4.19246228367054
10,7,-4.108,4.172178303955859
10,8,-4.03,4.937730166787165
10,9,-3.907,4.636972536041162
10,10,-3.906,5.4362592285504565
10,11,-3.852,2.240101247711808
10,12,-3.703,4.587256097058458
10,13,-3.698,5.039323496264156
10,14,-3.634,6.184734521384083
10,15,-3.609,4.358000195043593
10,16,-3.608,2.583151660278583
10,17,-3.601,4.141442864509904
10,18,-3.541,4.3828100346695384
10,19,-3.396,4.736356078252563
10,20,-3.324,1.732129094496135
