step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
68,347,8.0,11.0,0.0,0.7,0.0,0.0,1.0,0.998,0.0,0.0,1000,998,0,0,199196.0,214793.2,164600.0,180200.0,72.496,99.072
69,172,4.0,4.0,0.004,0.7,0.004,0.0,1.0,1.0,0.004,0.0,1000,1000,4,0,208291.6,215794.8,173700.0,181200.0,96.456,103.136
70,437,10.0,17.0,0.0,0.7,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215538.8,214035.2,180940.0,179440.0,82.267,69.39
71,332,7.5,17.0,0.709,0.709,0.709,0.001,0.998,1.0,0.7104208416833667,0.001,998,1000,709,1,212976.0,214012.4,178380.0,179420.0,92.186,175.298
72,113,2.5,8.0,0.004,0.709,0.004,0.0,1.0,1.0,0.004,0.0,1000,1000,4,0,206041.6,212902.8,171440.0,178300.0,145.67,108.925
73,181,4.0,13.0,0.013,0.709,0.013,0.007,0.994,1.0,0.013078470824949699,0.007,994,1000,13,7,214156.4,207193.2,179560.0,172600.0,110.393,69.231
74,57,1.0,15.0,0.095,0.709,0.095,0.005,0.255,0.257,0.37254901960784315,0.019455252918287938,255,257,95,5,209840.8,210013.6,175240.0,175420.0,78.988,99.007
75,206,4.5,17.0,0.004,0.709,0.004,0.0,0.999,0.945,0.004004004004004004,0.0,999,945,4,0,213798.4,218614.4,179200.0,184020.0,88.752,71.015
76,254,6.0,2.0,0.0,0.709,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214390.8,211404.8,179800.0,176800.0,64.901,85.972
77,18,0.1,18.0,0.0,0.709,0.0,0.0,0.012,0.63,0.0,0.0,12,630,0,0,209116.0,211300.4,174520.0,176700.0,39.416,84.797
78,22,0.5,1.0,0.0,0.709,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,200384.0,206725.2,165780.0,172120.0,81.623,141.679
79,207,4.5,18.0,0.0,0.709,0.0,0.0,1.0,0.997,0.0,0.0,1000,997,0,0,207336.8,217367.6,172740.0,182780.0,140.771,71.607
80,339,8.0,3.0,0.0,0.709,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,216972.4,215535.6,182380.0,180940.0,75.268,104.617
81,136,3.0,10.0,0.0,0.709,0.0,0.0,0.999,0.999,0.0,0.0,999,999,0,0,218874.8,215294.4,184280.0,180700.0,69.899,100.228
82,310,7.0,16.0,0.0,0.709,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,217612.8,212403.6,183020.0,177800.0,111.788,66.599
83,311,7.0,17.0,0.0,0.709,0.0,0.0,0.996,0.998,0.0,0.0,996,998,0,0,211256.8,211018.8,176660.0,176420.0,75.403,113.695
84,174,4.0,6.0,0.577,0.709,0.577,0.001,0.995,1.0,0.5798994974874372,0.001,995,1000,577,1,210573.6,217078.0,175980.0,182480.0,72.411,134.135
85,126,3.0,0.1,0.0,0.709,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,209654.4,209332.8,175060.0,174740.0,49.736,132.364
86,244,5.5,13.0,0.0,0.709,0.0,0.001,1.0,0.854,0.0,0.00117096018735363,1000,854,0,1,199476.0,210756.4,164880.0,176160.0,109.555,73.075
87,204,4.5,15.0,0.0,0.709,0.0,0.022,1.0,0.996,0.0,0.02208835341365462,1000,996,0,22,214889.6,216330.8,180300.0,181740.0,77.506,63.14
88,403,9.5,4.0,0.017,0.709,0.017,0.0,1.0,1.0,0.017,0.0,1000,1000,17,0,212471.2,208573.2,177880.0,173980.0,57.912,88.692
89,80,1.5,17.0,0.006,0.709,0.006,0.492,0.154,0.945,0.03896103896103896,0.5206349206349207,154,945,6,492,211250.0,211750.0,176660.0,177160.0,80.718,88.988
90,168,4.0,0.1,0.0,0.709,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211254.4,219013.2,176660.0,184420.0,52.973,69.497
91,148,3.5,1.0,0.004,0.709,0.004,0.0,1.0,1.0,0.004,0.0,1000,1000,4,0,207292.4,214284.8,172700.0,179700.0,110.773,116.082
92,59,1.0,17.0,0.0,0.709,0.0,0.001,0.045,0.27,0.0,0.003703703703703704,45,270,0,1,213256.8,216337.2,178660.0,181740.0,49.484,66.949
93,0,0.1,0.1,0.032,0.709,0.032,0.163,1.0,1.0,0.032,0.163,1000,1000,32,163,213944.4,214048.0,179340.0,179440.0,76.697,64.559
94,283,6.5,10.0,0.0,0.709,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215251.2,212041.2,180660.0,177440.0,122.472,118.413
95,25,0.5,4.0,0.0,0.709,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,203514.8,215442.0,168920.0,180840.0,109.105,106.776
96,140,3.0,14.0,0.053,0.709,0.053,0.0,0.97,1.0,0.05463917525773196,0.0,970,1000,53,0,204654.0,214254.8,170060.0,179660.0,81.571,67.339
97,340,8.0,4.0,0.0,0.709,0.0,0.007,1.0,1.0,0.0,0.007,1000,1000,0,7,203115.2,210754.4,168520.0,176160.0,42.858,117.224
98,138,3.0,12.0,0.001,0.709,0.001,0.002,0.68,0.879,0.0014705882352941176,0.0022753128555176336,680,879,1,2,217830.4,210895.6,183240.0,176300.0,51.315,105.999
99,63,1.5,0.1,0.031,0.709,0.031,0.0,1.0,1.0,0.031,0.0,1000,1000,31,0,215793.6,212126.8,181200.0,177520.0,67.702,138.884
100,263,6.0,11.0,0.0,0.709,0.0,0.0,1.0,0.804,0.0,0.0,1000,804,0,0,212472.0,212756.4,177880.0,178160.0,89.769,42.161
