ligand,Kdist,Kmono,runs,mRMSD_mean,avg_RMSD_mean,valid_rate_mean,success_rate_mean,cpu_sec_mean,sample_elapsed_sec_mean,tts_99_sec_mean,ttt_99_sec_mean
4jsz,4.5,10.0,10,0.9919187261976694,3.0526419000000007,1.0,0.053000000000000005,2.6122,2.6302000000000003,220.90466645772148,220.90466645772148
3nq9,6.5,9.0,10,0.800531506280356,4.704767100000005,1.0,0.047999999999999994,2.4492000000000003,2.4527999999999994,229.29308453479885,229.29308453479885
3nq9,4.5,16.0,10,0.587958577933317,4.784378199999998,1.0,0.028000000000000004,2.3708,2.3781,384.4415314304126,384.4415314304126
3nq9,2.5,15.0,10,0.7624192388077091,4.6021188000000075,1.0,0.052000000000000005,2.2793,2.2821,196.56201741336878,196.56201741336878
4jsz,9.5,7.0,10,1.1143605230176343,3.301819699999993,1.0,0.04399999999999999,2.6323,2.6385000000000005,269.3977576206587,269.3977576206587
4jsz,2.5,13.0,10,0.9919187261976694,2.9148694999999982,1.0,0.07899999999999999,2.5013999999999994,2.5082,139.97616777761846,139.97616777761846
3nq9,0.5,14.0,10,0.7624192388077091,4.617670899999991,1.0,0.048999999999999995,2.0796,2.0873999999999997,190.6186314345727,190.6186314345727
4jsz,2.0,3.0,10,0.9919187261976694,2.858155699999998,1.0,0.08399999999999999,2.5859,2.603,135.7266576395267,135.7266576395267
4jsz,0.5,12.0,10,0.9919187261976694,2.5622576000000024,0.5280000000000001,0.030000000000000006,2.2827,2.2897,345.12460604342584,345.12460604342584
3nq9,10.0,1.0,10,0.8765629458566726,4.767557099999999,1.0,0.03500000000000001,2.5288999999999997,2.5345,326.88569945096594,326.88569945096594
4jsz,10.0,7.0,10,0.5739941579572335,3.2876572999999985,1.0,0.03300000000000001,2.6448,2.6557000000000004,362.95952195276857,362.95952195276857
3nq9,6.5,3.0,10,0.755828817852577,4.701824099999996,1.0,0.03599999999999999,2.4894999999999996,2.4947,312.69299762468,312.69299762468
3nq9,9.5,0.1,10,0.7479297007123636,4.723939999999993,1.0,0.04599999999999999,2.5338,2.5387999999999997,247.78470789872637,247.78470789872637
4jsz,8.0,11.0,10,0.9486651723876143,3.3841210999999953,1.0,0.03799999999999999,2.6808,2.6902,318.6700122609649,318.6700122609649
3nq9,8.0,17.0,10,0.8914687180166775,4.731812200000001,1.0,0.040999999999999995,2.4314999999999998,2.4337999999999997,267.47125732597067,267.47125732597067
4jsz,0.5,18.0,10,0.9919187261976694,2.5577795000000054,0.5300000000000001,0.03899999999999999,2.2720000000000002,2.2853000000000003,263.01452581227215,263.01452581227215
4jsz,2.0,9.0,10,0.9919187261976694,2.9075687999999973,1.0,0.060999999999999985,2.5257,2.5574000000000003,184.80005307513218,184.80005307513218
3nq9,2.5,5.0,10,0.7624192388077091,4.639880699999994,1.0,0.054000000000000006,2.3874,2.4018,198.05164107175315,198.05164107175315
4jsz,4.0,20.0,10,0.9486651723876143,3.037421499999998,1.0,0.04599999999999999,2.5444,2.5576,248.82130033053886,248.82130033053886
4jsz,2.5,19.0,10,0.7387117379366969,2.9121984999999992,1.0,0.07799999999999999,2.4751999999999996,2.4909,140.36090955274068,140.36090955274068
3nq9,9.0,1.0,10,1.1310428243002522,4.7669694,1.0,0.03300000000000001,2.5610999999999997,2.5977,351.47293998534303,351.47293998534303
3nq9,0.5,6.0,10,0.7624192388077091,4.588118999999986,1.0,0.05700000000000001,2.1629,2.177,169.7170375192101,169.7170375192101
3nq9,7.0,10.0,10,0.9279983066142066,4.786814199999998,1.0,0.030000000000000006,2.4825999999999997,2.5132000000000003,375.3477666637793,375.3477666637793
4jsz,7.0,16.0,10,0.8568300192144778,3.325516300000001,1.0,0.03400000000000001,2.6292999999999997,2.6371,350.03955604227923,350.03955604227923
3nq9,5.0,11.0,10,0.8368301267593143,4.715315399999997,1.0,0.03699999999999999,2.4495999999999998,2.4593000000000003,299.211305173245,299.211305173245
4jsz,5.0,17.0,10,0.9604426737703509,3.0825214000000005,1.0,0.05800000000000001,2.5929999999999995,2.6069000000000004,199.8528102386744,199.8528102386744
4jsz,4.5,3.0,10,0.7606266272340408,2.993856800000003,1.0,0.053000000000000005,2.5951999999999997,2.6135,219.46703559875922,219.46703559875922
4jsz,3.0,14.0,10,1.0565339527508757,2.9270606999999975,1.0,0.07000000000000002,2.5336000000000003,2.5518000000000005,160.776461233104,160.776461233104
4jsz,2.5,6.0,10,0.43266667696150984,2.915093699999997,1.0,0.07699999999999999,2.5653999999999995,2.5798,147.4439886794633,147.4439886794633
3nq9,3.0,12.0,10,0.7624192388077091,4.594728499999995,1.0,0.049999999999999996,2.3292,2.3343,209.11821955048498,209.11821955048498
4jsz,1.0,15.0,10,0.9919187261976694,2.7693777,1.0,0.09999999999999999,2.3442,2.3548999999999998,102.46191263008863,102.46191263008863
3nq9,9.0,20.0,10,0.46625992208700306,4.676686800000004,1.0,0.04499999999999999,2.4349999999999996,2.4395,243.5410559532907,243.5410559532907
3nq9,0.1,9.0,10,0.6889329579963634,4.727451300000006,0.04699999999999999,0.0020000000000000005,1.9067,1.9111999999999998,4385.947192903295,4385.947192903295
4jsz,9.0,2.0,10,0.7125017852609876,2.914858599999998,1.0,0.06000000000000001,2.4206000000000003,2.441,180.1568035497792,180.1568035497792
4jsz,0.5,5.0,10,0.9919187261976694,2.559136600000002,0.559,0.03699999999999999,2.393,2.4181999999999997,292.2977846503819,292.2977846503819
3nq9,1.0,13.0,10,0.7624192388077091,4.609743899999999,1.0,0.053000000000000005,2.1759,2.184,184.00829329506013,184.00829329506013
4jsz,4.5,9.0,10,1.059228713857196,3.026062400000004,1.0,0.053000000000000005,2.6178,2.6252,221.37823897596792,221.37823897596792
3nq9,4.0,5.0,10,0.587958577933317,4.759287499999999,1.0,0.039999999999999994,2.4341,2.4392000000000005,274.59326476935564,274.59326476935564
3nq9,6.0,6.0,10,0.664849113521406,4.742801100000002,1.0,0.040999999999999995,2.4687,2.4743000000000004,271.5633530580398,271.5633530580398
3nq9,9.5,10.0,10,0.7126838412832457,4.799819900000002,1.0,0.03699999999999999,2.4844,2.4956,303.4620209717546,303.4620209717546
4jsz,9.5,16.0,10,0.9065651860139352,3.468496699999993,1.0,0.024999999999999998,2.7115,2.7472000000000003,493.2069540560163,493.2069540560163
3nq9,7.5,20.0,10,0.590990403057459,4.601788199999999,1.0,0.05800000000000001,2.4240000000000004,2.4314,186.8273089157527,186.8273089157527
3nq9,9.5,4.0,10,0.664849113521406,4.670060899999998,1.0,0.04599999999999999,2.5359,2.5492999999999997,247.99007055031188,247.99007055031188
3nq9,1.0,19.0,10,0.7624192388077091,4.662256499999995,1.0,0.04299999999999999,2.1395,2.1483,224.17152406434334,224.17152406434334
4jsz,9.0,8.0,10,0.7917358111635774,3.3842428999999976,1.0,0.03500000000000001,2.6994,2.7191,348.9245352121228,348.9245352121228
3nq9,0.1,3.0,10,0.42181529246046834,4.7039152000000035,0.05800000000000001,0.004000000000000001,1.9998999999999998,2.0294000000000003,2297.861947696444,2297.861947696444
3nq9,10.0,17.0,10,0.7624192388077091,4.748793500000004,1.0,0.039999999999999994,2.4720000000000004,2.4803,278.8688018199117,278.8688018199117
3nq9,3.0,18.0,10,0.7479297007123636,4.671624499999998,1.0,0.04599999999999999,2.2903,2.2954999999999997,223.97241948869404,223.97241948869404
4jsz,9.5,12.0,10,0.9975064307290532,3.4319402000000077,1.0,0.019999999999999997,2.7464000000000004,2.7773,626.0368573389103,626.0368573389103
4jsz,7.0,18.0,10,0.6431324531984809,3.3195590000000017,1.0,0.03200000000000001,2.619,2.6257,370.84123926991185,370.84123926991185
3nq9,9.5,14.0,10,0.7473726179221493,4.653334300000004,1.0,0.03200000000000001,2.4691,2.4729999999999994,349.61592358966755,349.61592358966755
3nq9,6.0,2.0,10,0.5838652895106231,4.707532499999992,1.0,0.031000000000000007,2.5109000000000004,2.5204,367.19202506720006,367.19202506720006
3nq9,4.0,1.0,10,0.8226019338392094,4.634095699999998,1.0,0.03799999999999999,2.47,2.4789,293.61195549260793,293.61195549260793
4jsz,3.5,20.0,10,0.9919187261976694,2.9744833999999982,1.0,0.06299999999999999,2.5092,2.5123000000000006,177.57704710048603,177.57704710048603
4jsz,5.0,19.0,10,0.7387117379366969,3.1287114999999983,1.0,0.04499999999999999,2.6028,2.6295,260.3238851890041,260.3238851890041
3nq9,2.0,4.0,10,0.7624192388077091,4.622908100000001,1.0,0.053000000000000005,2.3476000000000004,2.3525,198.5283649705792,198.5283649705792
3nq9,10.0,13.0,10,0.527084194337272,4.716766899999993,1.0,0.04299999999999999,2.4841,2.4963000000000006,260.27786068157764,260.27786068157764
4jsz,2.5,8.0,10,0.43266667696150984,2.879127499999997,1.0,0.07399999999999998,2.5346,2.5372999999999997,151.82239593936217,151.82239593936217
3nq9,4.5,0.1,10,0.8226019338392094,4.599555700000004,1.0,0.041999999999999996,2.5199999999999996,2.5387000000000004,270.46620276580694,270.46620276580694
3nq9,0.1,7.0,10,0.8899601675337612,4.712470599999996,0.05600000000000001,0.0010000000000000002,1.9300000000000002,1.9439,8883.53372869209,8883.53372869209
4jsz,5.0,13.0,10,0.9919187261976694,3.0641142000000046,1.0,0.05700000000000001,2.6112,2.6186,204.89395181014442,204.89395181014442
4jsz,4.5,7.0,10,0.8682059700502103,3.071229699999999,1.0,0.053000000000000005,2.6424,2.6492,223.45857539540742,223.45857539540742
3nq9,5.0,15.0,10,0.6756799165122086,4.711188999999998,1.0,0.04499999999999999,2.4173,2.4208000000000003,241.77075751781913,241.77075751781913
4jsz,0.1,0.1,10,1.6763595538271185,2.0722983999999864,0.0,0.0,2.556,2.5614,,
3nq9,6.0,8.0,10,0.4159332753613928,4.677904300000001,1.0,0.04499999999999999,2.4534000000000002,2.4578999999999995,245.38136619129506,245.38136619129506
4jsz,7.0,12.0,10,1.026122959627354,3.2973636000000033,1.0,0.03699999999999999,2.6697,2.6770999999999994,326.09586112876076,326.09586112876076
4jsz,6.5,4.0,10,0.43266667696150984,3.0400982999999973,1.0,0.05500000000000001,2.5851,2.5963000000000003,210.44284036736343,210.44284036736343
3nq9,7.0,14.0,10,0.7589985050977532,4.654982100000004,1.0,0.04499999999999999,2.433,2.4383,243.3410222317685,243.3410222317685
4jsz,9.5,18.0,10,1.1086449599324062,3.417282999999995,1.0,0.03300000000000001,2.6748,2.6978999999999997,367.07657642137974,367.07657642137974
