Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
631,1.8842,0.0,True,True
632,1.8842,0.0,True,True
633,1.8842,0.0,True,True
634,1.8842,0.0,True,True
635,1.8842,0.0,True,True
636,1.8842,0.0,True,True
637,1.8842,0.0,True,True
638,1.8842,0.0,True,True
639,1.8842,0.0,True,True
640,1.8842,0.0,True,True
641,1.8842,0.0,True,True
642,1.8842,0.0,True,True
643,1.8842,0.0,True,True
644,1.8842,0.0,True,True
645,1.8842,0.0,True,True
646,1.8842,0.0,True,True
647,1.8842,0.0,True,True
648,1.8842,0.0,True,True
649,1.8842,0.0,True,True
650,1.8842,0.0,True,True
651,1.8842,0.0,True,True
652,1.8842,0.0,True,True
653,1.8842,0.0,True,True
654,1.8842,0.0,True,True
655,1.8842,0.0,True,True
656,1.8842,0.0,True,True
657,1.8842,0.0,True,True
658,1.8842,0.0,True,True
659,1.8842,0.0,True,True
660,1.8842,0.0,True,True
661,1.8842,0.0,True,True
662,1.8842,0.0,True,True
663,1.8842,0.0,True,True
664,1.8842,0.0,True,True
665,1.8842,0.0,True,True
666,1.8842,0.0,True,True
667,1.8842,0.0,True,True
668,1.8842,0.0,True,True
669,1.8842,0.0,True,True
670,1.8842,0.0,True,True
671,1.8842,0.0,True,True
672,1.8842,0.0,True,True
673,1.8842,0.0,True,True
674,1.8842,0.0,True,True
675,1.8842,0.0,True,True
676,1.8842,0.0,True,True
677,1.8842,0.0,True,True
678,1.8842,0.0,True,True
679,1.8842,0.0,True,True
680,1.8842,0.0,True,True
681,1.8842,0.0,True,True
682,1.8842,0.0,True,True
683,1.8842,0.0,True,True
684,1.8842,0.0,True,True
685,1.8842,0.0,True,True
686,1.8842,0.0,True,True
687,1.8842,0.0,True,True
688,1.8842,0.0,True,True
689,1.8842,0.0,True,True
690,1.8842,0.0,True,True
691,1.8842,0.0,True,True
692,1.8842,0.0,True,True
693,1.8842,0.0,True,True
694,1.8842,0.0,True,True
695,1.8842,0.0,True,True
696,1.8842,0.0,True,True
697,1.8842,0.0,True,True
698,1.8842,0.0,True,True
699,1.8842,0.0,True,True
700,1.8842,0.0,True,True
701,1.8842,0.0,True,True
702,1.8842,0.0,True,True
703,1.8842,0.0,True,True
704,1.8842,0.0,True,True
705,1.8842,0.0,True,True
706,1.8842,0.0,True,True
707,1.8842,0.0,True,True
708,1.8842,0.0,True,True
709,1.8842,0.0,True,True
710,1.8842,0.0,True,True
711,1.8842,0.0,True,True
712,1.8842,0.0,True,True
713,1.8842,0.0,True,True
714,1.8842,0.0,True,True
715,1.8842,0.0,True,True
716,1.8842,0.0,True,True
717,1.8842,0.0,True,True
718,1.8842,0.0,True,True
719,1.8842,0.0,True,True
720,1.8842,0.0,True,True
721,1.8842,0.0,True,True
722,1.8842,0.0,True,True
723,1.8842,0.0,True,True
724,1.8842,0.0,True,True
725,1.8842,0.0,True,True
726,1.8842,0.0,True,True
727,1.8842,0.0,True,True
728,1.8842,0.0,True,True
729,1.8842,0.0,True,True
730,1.8842,0.0,True,True
731,1.8842,0.0,True,True
732,1.8842,0.0,True,True
733,1.8842,0.0,True,True
734,1.8842,0.0,True,True
735,1.8842,0.0,True,True
736,1.8842,0.0,True,True
737,1.8842,0.0,True,True
738,1.8842,0.0,True,True
739,1.8842,0.0,True,True
740,1.8842,0.0,True,True
741,1.8842,0.0,True,True
742,1.8842,0.0,True,True
